system,bt,prefix,rps,ttft_mean_ms,ttft_p99_ms,slo_2s,slo_5s,slo_10s,slo_20s
dp4_tp8_sp,65536,0.5,10.0,2571.4889848711236,4149.409844027832,23.43,100.00,100.00,100.00
dp4_tp8_sp,65536,0.75,10.0,714.6377375982702,2166.7645078618075,97.94,100.00,100.00,100.00
dp4_tp8_sp,65536,0.9,10.0,291.5116734600493,1114.5517436694352,100.00,100.00,100.00,100.00
dp4_tp8_sp,65536,0.95,10.0,202.3540126984673,764.0558427572247,100.00,100.00,100.00,100.00
dp4_tp8_sp,65536,0.99,10.0,170.39451528447015,703.9272440690545,100.00,100.00,100.00,100.00
dp4_tp8_sp,65536,0.0,12.0,10276.606813648981,18900.380542092025,2.06,10.06,48.23,99.66
dp4_tp8_sp,65536,0.25,12.0,7073.725313616118,12189.631989216432,2.17,19.89,90.86,100.00
dp4_tp8_sp,65536,0.5,12.0,3530.112797598754,5520.260094236581,4.57,95.89,100.00,100.00
dp4_tp8_sp,65536,0.75,12.0,965.0175042104509,2323.4005531296134,96.23,100.00,100.00,100.00
dp4_tp8_sp,65536,0.9,12.0,316.13383081927896,1199.2375085223466,100.00,100.00,100.00,100.00
dp4_tp8_sp,65536,0.95,12.0,198.061519098069,685.8154648914933,100.00,100.00,100.00,100.00
dp4_tp8_sp,65536,0.99,12.0,152.68359136474984,524.8943501152098,100.00,100.00,100.00,100.00
dp4_tp8_sp,65536,0.0,4.0,1596.7380573329117,3496.895676329732,68.23,100.00,100.00,100.00
dp4_tp8_sp,65536,0.25,4.0,1324.7935295546692,3088.6220962181687,79.43,100.00,100.00,100.00
dp4_tp8_sp,65536,0.5,4.0,1049.3062642871269,2876.3207427784796,90.63,100.00,100.00,100.00
dp4_tp8_sp,65536,0.75,4.0,784.4172587437289,2094.9295746255666,97.83,100.00,100.00,100.00
dp4_tp8_sp,65536,0.9,4.0,674.2291797505958,1889.836839381605,99.43,100.00,100.00,100.00
dp4_tp8_sp,65536,0.95,4.0,613.365876385676,1703.0315065570176,99.89,100.00,100.00,100.00
dp4_tp8_sp,65536,0.99,4.0,601.6917001961598,1723.8625453505665,99.89,100.00,100.00,100.00
dp4_tp8_sp,65536,0.0,6.0,2430.762229322855,4328.398964684457,26.86,100.00,100.00,100.00
