system,bt,prefix,rps,slo,ttft_mean_ms,ttft_p99_ms,success,failed
dp4_tp8_sp,16384,0.0,10.0,100.0,1683.7211495121676,3546.5193205233663,875,0
dp4_tp8_sp,16384,0.25,10.0,100.0,1389.6745620082531,2788.463162649423,875,0
dp4_tp8_sp,16384,0.5,10.0,100.0,748.0431748468961,1645.592035958543,875,0
dp4_tp8_sp,16384,0.75,10.0,100.0,429.63060490627373,1199.2078179586679,875,0
dp4_tp8_sp,16384,0.9,10.0,100.0,219.53397696358817,751.2784717511385,875,0
dp4_tp8_sp,16384,0.95,10.0,100.0,167.47434941466366,613.1674405466765,875,0
dp4_tp8_sp,16384,0.99,10.0,100.0,145.09238457094347,689.3604569882153,875,0
dp4_tp8_sp,16384,0.0,12.0,90.1,6208.912103309163,12251.71801473014,875,0
dp4_tp8_sp,16384,0.25,12.0,100.0,2177.200625491994,4137.832955494523,875,0
dp4_tp8_sp,16384,0.5,12.0,100.0,780.2264711824911,1623.0029331333933,875,0
dp4_tp8_sp,16384,0.75,12.0,100.0,438.259911570698,1064.3448091205207,875,0
dp4_tp8_sp,16384,0.9,12.0,100.0,266.12173593470027,807.9158256389198,875,0
dp4_tp8_sp,16384,0.95,12.0,100.0,192.62617539880532,667.8184489905834,875,0
dp4_tp8_sp,16384,0.99,12.0,100.0,138.85778265872173,533.4425881598144,875,0
dp4_tp8_sp,16384,0.0,4.0,100.0,713.310078102031,1684.7531918808816,875,0
dp4_tp8_sp,16384,0.25,4.0,100.0,646.3729703756316,1513.5547828488052,875,0
dp4_tp8_sp,16384,0.5,4.0,100.0,566.299094147448,1326.5328023023903,875,0
dp4_tp8_sp,16384,0.75,4.0,100.0,508.6816241709249,1320.323106488213,875,0
dp4_tp8_sp,16384,0.9,4.0,100.0,451.4818682963295,1254.1159613244236,875,0
dp4_tp8_sp,16384,0.95,4.0,100.0,445.22101370032345,1247.750838268548,875,0
dp4_tp8_sp,16384,0.99,4.0,100.0,443.7615548643683,1234.944527298212,875,0
dp4_tp8_sp,16384,0.0,6.0,100.0,928.2293666095605,2079.6967340633273,875,0
dp4_tp8_sp,16384,0.25,6.0,100.0,771.6753606460989,1730.2644337713714,875,0
dp4_tp8_sp,16384,0.5,6.0,100.0,572.794455065259,1383.1754294876005,875,0
dp4_tp8_sp,16384,0.75,6.0,100.0,399.7976497720395,1115.4359034635127,875,0
dp4_tp8_sp,16384,0.9,6.0,100.0,191.63175428179758,759.2315533477811,875,0
dp4_tp8_sp,16384,0.95,6.0,100.0,206.98455505179507,863.5189429670571,875,0
dp4_tp8_sp,16384,0.99,6.0,100.0,182.77226422514235,792.2604648396373,875,0
dp4_tp8_sp,16384,0.0,8.0,100.0,1221.061706665371,2483.543033730238,875,0
dp4_tp8_sp,16384,0.25,8.0,100.0,1010.1322592587343,2118.4303666185583,875,0
dp4_tp8_sp,16384,0.5,8.0,100.0,746.8070047742555,1770.1497807446867,875,0
dp4_tp8_sp,16384,0.75,8.0,100.0,365.4100596212915,974.1727990563957,875,0
dp4_tp8_sp,16384,0.9,8.0,100.0,204.2513353324362,723.6915637366474,875,0
dp4_tp8_sp,16384,0.95,8.0,100.0,157.4834268545466,621.8452589213848,875,0
dp4_tp8_sp,16384,0.99,8.0,100.0,151.87075323345405,621.9358999561517,875,0
dp4_tp8_sp,32768,0.0,10.0,100.0,2581.331195005349,4638.851431859657,875,0
dp4_tp8_sp,32768,0.25,10.0,100.0,2112.607426640711,3787.938414737582,875,0
dp4_tp8_sp,32768,0.5,10.0,100.0,1256.055755813739,2368.8541943021114,875,0
dp4_tp8_sp,32768,0.75,10.0,100.0,491.7097754739225,1427.0844280626623,875,0
dp4_tp8_sp,32768,0.9,10.0,100.0,239.36986136489682,792.1400075592101,875,0
dp4_tp8_sp,32768,0.95,10.0,100.0,177.6692167190569,707.1970094647256,875,0
dp4_tp8_sp,32768,0.99,10.0,100.0,151.95075249033314,623.9436452742664,875,0
dp4_tp8_sp,32768,0.0,12.0,72.8,7471.615443697466,13923.476414522154,875,0
dp4_tp8_sp,32768,0.25,12.0,100.0,3056.379060845822,5417.616294231265,875,0
dp4_tp8_sp,32768,0.5,12.0,100.0,1367.6531962991826,2504.1292126942426,875,0
dp4_tp8_sp,32768,0.75,12.0,100.0,766.4859979732761,1674.8593878932297,875,0
dp4_tp8_sp,32768,0.9,12.0,100.0,297.96213093719314,1191.7213361710308,875,0
dp4_tp8_sp,32768,0.95,12.0,100.0,174.2130429457341,681.8248974811283,875,0
dp4_tp8_sp,32768,0.99,12.0,100.0,147.68943225219846,642.5037112552673,875,0
dp4_tp8_sp,32768,0.0,4.0,100.0,1063.6846262131419,2474.305021800101,875,0
dp4_tp8_sp,32768,0.25,4.0,100.0,926.5126565817211,2239.7511994093657,875,0
